No.,대분류,중분류,소분류,데이터명(데이터 기준단위),주요 데이터내용(해당 시스템에서 추출),데이터 내용(해당 시스템에서 추출),기관명,시스템명
1,근로조건,근로기준,근로감독?신고사건,신고사건(진정 및 고소고발),"사건구분, 사건요지, 사업장명(공사장명), 범죄사실내용, 체불확정금액(임금), 체불확정금액(퇴직금), 체불확정금액(해고예고수당), 체불확정금액합계, 청산금액합계, 체불확정인원수, 청산인원수합계, 체불확정일자, 종결일자, 죄명, 범죄인지일, 송치일자 ","등록일련번호, 사건구분, 지방관서, 접수번호, 민원신청유형코드, 감독관ID, 감독관성명, 접수일자, 처리기한일자, 사건요지, 원처리기한일자, 진정/고소.고발인수, 피진정/고소.고발피의자수, 접수사건내용구분, 사업장일련번호, 사업장명(공사장명), 사업장업종코드, 사업장업종중분류명, 대상근로자수, 직상수급인, 직상수급인전화, 직상수급인주소, 사건번호, 범죄사실내용, 단기계약근로자수, 단시간근로자수, 특수고용형태근로자수, 체불확정금액(임금), 지도청산확정금액, 체불확정금액(퇴직금), 지도청산확정금액(퇴직금,, 기타,해고예고수당), 체불확정금액(해고예고수당), 지도청산확정금액합계, 체불확정금액합계, 청산금액합계, 체불확정인원수, 청산인원수합계, 사업장가동여부, 종결처리구분, 체불확정일자, 종결일자, 청산일자(일부), 죄명, 검찰처분결과, 발각원인, 청산일자(전액), 범죄인지일, 송치일자, 송치구분, 과태료부과금액, 조치일자, 조치구분, 진행구분, 미청산사건청산구분, 청산확정여부, 청산일자(미청산목록), 업종구분, 무료법율신청여부, 체당금청산확정여부, 체당금청산일자, 체당금청산금액(임금, 퇴직금, 기타, 휴업수당), 체당금청산금액합계, 무료법률청산확정여부, 무료법률청산일자, 무료법률청산금액(임금, 퇴직금, 기타, 휴업수당), 무료법률청산금액합계, 기타청산확정여부, 기타청산일자, 기타청산금액(임금, 퇴직금, 기타, 휴업수당), 기타청산금액합계, 직상사업장관리번호, 종결상태구분, 사건송치번호, 인지경위, 진정고소고발구분, 병합대표여부, 부서ID, 원사건민원등록번호, 원사건사건구분, 원사건피의자번호, 지연일수, 체불사유, 전단계병합처리번호, 전단계대표여부, 주소, 원사건병행상세주소, 건설현장체불, 공사유형, 사업주유형, 병합처리번호, 병행상세주소",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
2,근로조건,근로기준,근로감독?신고사건,"지도감독(근로감독, 근로조건자율개선)","기준년도, 사업종류코드, 지도감독, 순번, 접수일련번호, 조치구분, 조치순번, 조치일자, 지도감독구분, 지도감독일자","기준년도, 사업종류코드, 지도감독, 순번, 접수일련번호, 조치구분, 조치순번, 조치일자, 지도감독구분, 지도감독일자, 지방관서, 감독관ID, 감독관명, 구분, 대상근로자수, 점검구분, 선정사유, 변경사유, 변경전사업장관리번호, 사업구분, 부서ID, 근로조건자율개선지원사업연계여부, 수탁사업자, 서비스, 수행자, 서비스, 수행자, 성명, 서비스, 수행자, 생년월일, 대상사업장구분, 도입여부, 서비스, 월, 서비스, 일자, 점검분류(일반점검_집중점검)",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
3,근로조건,근로기준,"근로기준인허가,신고심사","근로시간연장, 취직인허, 최저임금적용제외","민원종류, 민원구분, 사업장일련번호, 근로자수, 신청인원, 인가인원, 인허가및승인일자, 인가취소사유","민원번호, 접수번호, 접수일자, 민원종류, 민원구분, 처리기한일자, 지방관서, 감독관ID, 감독관성명, 담당자전화번호, 사업장일련번호, 근로자수, 근로자수-여, 신청인원, 인가인원, 인가년도, 인허가및승인일자, 인허가및승인번호, 승인기간-FROM, 승인기간-TO, 조치일자, 조치구분, 진행상태, 처리결과, 인가취소일, 인가취소사유, 원처리일자, 부서코드, 종결일자
",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
4,근로조건,근로기준,"근로기준인허가,신고심사",근로자파견 인허가,"접수일자, 민원신청유형코드, 사업장일련번호, 허가번호, 관리지사, 폐지일자","민원번호, 접수번호, 신청구분, 서식번호, 접수일자, 민원신청유형코드, 사업장일련번호, 허가번호, 감독관번호, 감독관명, 감독관, 전화번호, 관리자사, 관리지사명, 부서코드, 부서명, 처리기한, 폐지일자, 신청사유, 진행상태, 종결상태, 종결일자",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
5,근로조건,근로기준,"근로기준인허가,신고심사",취업규칙,"신고구분, 신고일자, 접수일자, 사업장일련번호, 업종코드, 업종명, 근로자수, 의견청취일또는동의일자","민원번호, 접수번호, 신고구분, 민원구분, 신고일자, 접수일자, 처리기한일자, 사업장일련번호, 업종코드, 업종명, 노동조합순번, 근로자수_전체, 근로자수-여, 의견청취일또는동의일자, 신청인원, 인가인원, 인가년도, 인허가및승인일자, 인허가및승인번호, 승인기간-FROM, 승인기간-TO, 인가취소일, 인가취소사유, 지방관서, 감독관ID, 감독관명, 담당자전화번호, 부서코드, 진행구분, 보고기한일자, 조치일자, 조치구분, 진행상태, 처리결과",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
6,근로조건,근로기준,임금채권,도산 인정,"사업장명, 지방관서, 신청인_퇴직일자, 사업개시일자, 사업정지일자, 사업주행불여부, 재판상도산의신청, 재판상도산의신청일자, 도산신청일자, 체불근로자수, 체불금액계, 인정구분, 결정일","도산순번, 등록일련번호, 접수번호, 사업장일련번호, 사업장명, 지방관서, 신청인_퇴직일자, 사업개시일자, 사업정지일자, 사업주행불여부, 재판상도산의신청, 재판상도산의신청일자, 도산신청일자, 체불사항_체불근로자수,, 체불금액계,체불임금, 체불퇴직금, 체불기타, 인정구분, 결정일, 도산인정신청인통보일자, 공단/관서통보일자, 취소일자, 취소사유, 업종코드, 대표자명, 근로자수, 대표자주민번호, 도산복명서결재일자, 도산복명서결재구분, 도산등사실인정결과통지/취소제외결재일자, 도산등사실인정통지/취소결재일자, 민원처리기간연장결재일자, 업무구분, 신청인_입사일자, 신청인_임금지급일자, 적격구분, 부적격사유, 확인불가사유, 만나이, 체당금_계, 확인접수일자, 확인결과통보일자, 도산신청일자, 도산결정일자, 도산등사실인정/재판상도산구분, 체불사건요청번호, 체불사건사건구분, 도산신청처리번호, 재판상도산구분, 공단지급일자, 공단지급액, 공단지급관서, 공인노무사선임여부, 공인노무사명, 공인노무사등록번호, 1차_2차_3차신청일, 공인노무사대상여, JOB여부, 상담일자, 노무사선임구분, 외국인, 등록번호, 조력지원조건구분, 조선업종, 현장별, 사업가동기간, 합산여부, 지사주소, 본사주소, 본사_전화번호, 지사도산여부, 직상사업장도산순번, 상시근로자수구분, 체불사항_체불휴업수당, 체불사항_체불출산휴가급여",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
7,근로조건,근로기준,임금채권,대지급금 지급,"도산사업장정보, 사업장주소, 본지사여부, 상시근로자수, 사업주정보, 대지급금 종류, 청구인정보, 소송 및 진정여부, 체불금품확인번호, 입사일자, 퇴직일자, 체불금액정보, 지급액","도산사업장 정보, 사업장 주소, 본지사여부, 접수노동관서, 상시근로자수, 사업주 정보, 대지급금 종류, 청구인정보, 소송 및 진정여부, 체불금품확인번호, 입사일자, 퇴직일자, 체불금액정보, 지급액, 지급계좌정보",근로복지공단,노동보험시스템
8,근로조건,근로기준,협약임금,임금정보,"직업분류코드, 표준산업분류코드, 기업규모코드, 연령구분코드, 학력구분코드, 성별구분코드, 기업평균연봉금액, 하위평균소득금액, 중위평균소득금액, 상위평균소득금액, 근속기간코드, 회사직급코드, 관련직군코드, 검색직급코드, 경력년수코드, 조사표본근로자인원수, 추정근로자인원수","직업분류코드, 표준산업분류코드, 기업규모코드, 연령구분코드, 학력구분코드, 성별구분코드, 기업평균연봉금액, 하위평균소득금액, 중위평균소득금액, 상위평균소득금액, 근속기간코드, 회사직급코드, 관련직군코드, 검색직급코드, 경력년수코드, 조사표본근로자인원수, 추정근로자인원수",한국고용정보원,임금직업포털
9,근로조건,근로복지,사내근로복지기금,사내근로복지기금,"민원번호, 사업장명-신청인명, 접수번호, 접수일자, 조치일자, 조치구분, 처리결과","민원번호, 민원서식구분, 사업장명-신청인명, 접수번호, 접수일자, 처리기한일자, 지방관서, 부서코드, 감독관ID, 감독관성명, 담당자전화번호, 조치일자, 조치구분, 진행상태, 처리결과",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
10,근로조건,근로복지,퇴직연금,퇴직연금규약,"사업자등록번호, 사업장명, 근로자수, 업종명, 퇴직연금소급기간구분, 퇴직금중간정산구분, 임금체계구분, 퇴직금폐지여부, 종전퇴직금제구분, 규약구분, 평균재직기간, 폐지사유, 확정급여형여부, 확정기여형여부, 혼합형여부, 제도폐지일","민원번호, 접수번호, 접수일자, 처리기한일자, 신고구분, 진행구분, 사업자등록번호, 사업장일련번호, 사업장명, 근로자수-전체, 신고일자, 의견청취일또는동의일자, 보고기한일자, 업종코드, 업종명, 노동조합원수, 사용자ID, 퇴직연금소급기간구분, 퇴직금중간정산구분, 임금체계구분, 퇴직금폐지여부, 퇴직연금도입제안자구분, 종전퇴직금제구분, 퇴직연금도입사유구분, 규약구분, 평균재직기간, 폐지사유, 지방관서, 감독관ID, 감독관명, 부서코드, 최종정보여부, 확정급여형여부, 확정기여형여부, 혼합형여부, 퇴직금제도여부, 폐지에대한근로자대표동의여부, 폐지에대한근로자대표기타의견, 제도폐지기타사유, 제도폐지일, 폐지일기준적립금, 미납부담금액(확정기여형,혼합형의경우), 미납부담금처리방안, 도입적용일, 은행명, 민원인휴대폰, 퇴직연금, 상세화면, 버전",고용노동부(근로감독기획과),근로감독행정 정보시스템(노사누리)
