세부사업,내역사업,26년,27년 요구
일자리정보플랫폼 기반 AI고용서비스 지원,국가일자리정보플랫폼 운영 및 유지관리,2136,4044
일자리정보플랫폼 기반 AI고용서비스 지원,AI서비스운영 및 유지관리,5356,2264
일자리정보플랫폼 기반 AI고용서비스 지원,온톨로지센터 운영 및 유지관리,1411,1411
일자리정보플랫폼 기반 AI고용서비스 지원,일자리정보플랫폼 운영지원,2198,3382
디지털 기반의 고용서비스 인프라 지원(정보화),고용24 대민포털 운영 및 유지관리,2712,3612
디지털 기반의 고용서비스 인프라 지원(정보화),고용24 행정포털 운영 및 유지관리,1484,1484
디지털 기반의 고용서비스 인프라 지원(정보화),정보시스템 운영지원,3327,2830
한국산업인력공단 정보화,정보시스템 운영관리,6608,10207
국민취업지원제도전산망 운영(정보화),국민취업지원제도 전산망 운영 지원,0,3105
고용노동행정(정보화),정보시스템 구축,847,1143
고용노동행정(정보화),정보시스템 유지보수,5041,5477
고용노동행정(정보화),사이버안전센터 운영,1811,2498
고용노동행정(정보화),전산장비 및 SW구매,1623,2060
고용노동행정(정보화),정보시스템 운영,12450,14297
고용노동행정(정보화),고용노동 AX 공통기반 운영,1967,11001
고용노동행정(정보화),지방노동감독관 노동정보시스템 구축,0,3565
고용노동행정(정보화),고용노동,0,200
노동위원회정보화운영,정보시스템운영·유지보수,665,1048
노동위원회정보화운영,원격영상심문회의 시스템구축,506,446
노동위원회정보화운영,디지털노동위원회 구축,1788,1934
고용전산망관리(정보화),고용전산망 운영 및 유지관리,0,43525
고용전산망관리(정보화),고용전산망 인프라 확충,0,4761
고용전산망관리(정보화),개인정보보호 및 정보보안,862,2913
고용전산망관리(정보화),고용전산망 운영지원,21921,18971
고용전산망관리(정보화),워크넷시스템 운영 및 유지관리,3591,0
고용전산망관리(정보화),고용보험시스템 운영 및 유지관리,3305,0
고용전산망관리(정보화),직업능력개발정보망 운영 및 유지관리,2436,0
고용전산망관리(정보화),외국인근로자 고용관리 정보시스템 운영 및 유지관리,1133,0
고용전산망관리(정보화),일모아시스템 운영 및 유지관리,1653,0
고용전산망관리(정보화),고용복지통합정보망 운영 및 유지관리,1366,0
고용전산망관리(정보화),고용서비스통합시스템 운영 및 유지관리,252,0
고용전산망관리(정보화),고용전산망 콘텐츠 및 UI·UX 기획·디자인,980,0
고용전산망관리(정보화),취업정보 발굴·수집,456,0
고용전산망관리(정보화),국가사이버 안전관리,1515,0
고용보험적용부과정보시스템구축(정보화),고용보험적용부과정보시스템구축(정보화),12662,12662
장애인고용정보화(정보화),장애인고용정보화 운영,4530,3851
임금채권정보화경비(정보화),임금채권 정보화 경비(정보화),341,609
산재보험 정보시스템 구축(정보화),산재보험 정보시스템 구축(정보화),23191,33868
안전보건관리 정보시스템 운영,안전보건관리 정보시스템 운영,9441,8105
안전보건관리 정보시스템 운영,범정부 산재예방디지털 안전 인프라구축·운영,0,4900
안전보건관리 정보시스템 운영,AI·빅데이터 활용산재예방 지원시스템,0,6064
안전보건관리 정보시스템 운영,건설현장 실시간종합정보시스템 구축,0,0
근복기금(중소계정) 정보화경비(정보화),전산장비 유지관리,312,312
근복기금(중소계정) 정보화경비(정보화),정보시스템 운영지원,22,22
근로복지정보시스템(정보화),전산장비 유지관리,3656,3656
근로복지정보시스템(정보화),정보시스템 운영지원,1653,1653
근로복지정보시스템(정보화),지능형생활안정지원시스템 구축 사업(2차 년도),4683,5362
근로복지정보시스템(정보화),중소기업퇴직연금기금제도 가입 대상 확대 BPR/ISP 수립,0,496
근복기금(신용계정) 정보화경비(정보화),전산장비 유지관리,120,120
근복기금(신용계정) 정보화경비(정보화),정보시스템 운영지원,28,28
